cod_empresa;numero_processo;pasta;numero_interno;data_distribuicao;codarea_acao;tipo_acao;local_tramite;data_atendimento;vinculo_tipo;cod_cliente;cod_usuario;cod_advogado_usuario;cod_parte_adversa;cod_adv_parte_adversa;valor_causa;observacoes;data_encerramento;inclusao;ativo;objeto_acao;etiqueta;destino;tipo;codorigem;data_entrada;prazo;previsao_saida;cod_processo_apensar;exibir_apenso_raiz;favorito;codprognostico;tipoprocesso;codassunto;coddetalhesadm;codobjetoadm;origem;codlocaltramite;uf;codcomarca;prognostico;statusprocessual;grupo_processo;codigo_fase;data_contratacao;pedido;codparceiros;data_transitojulgado;data_sentenca;data_execucao;contingencia;valor_causa2;migracao;acao_ajuizada;cod_fase_processo;campo_livre3;processo_traduzido;campo_livre2;campo_livre1;campo_livre4;numero_pasta;numero_cnj;migra_parceiro;unificador_cliente;cod_cliente_removido;cnj_ok;unificador_processo;cod_processo_removido;migracao2;numero_vara;migracao3;data_ultima_visualizacao;segredo_justica;capturar_andamentos;codigo_desc
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 225;347394;0;0;0;0.0;;;18/07/2018 11:51;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1548.0;;;;;;0;0;;;;18/07/2018 11:51;;;
92577;1,23451E+17;0.0;;26/06/2018 00:00;Direito Cível;;;;;Fulano(a) 758;301340;0;0;0;0.0;;;14/12/2017 18:19;0;Indenização;;Arquivo Morto;0;0;;;;;S;0;Procedência Parcial Provável;J;Indenização;0;253559;;Juizado Especial Cível;MG;Ipatinga;;Autor;Justiça Estadual;Arquivado;14/12/2017 00:00;INDENIZAÇÃO SPC;15441751;;;;0.0;0.0;;0;;;;;67701.0;;1375.0;0012345-12.2024.1.12.0000;;;;1.0;0;0;;1.0;;18/10/2018 15:14;;;1.0
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 940;347394;0;0;0;0.0;;;22/08/2017 17:16;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1264.0;;;;;;0;0;;;;22/08/2017 17:16;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 1327;347394;0;0;0;0.0;;;29/06/2017 16:11;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1214.0;;;;;;0;0;;;;28/09/2017 14:34;;;
92577;1,23451E+17;0.0;;22/10/2014 00:00;Direito Cível;;;;;Fulano(a) 1447;301340;0;0;0;15000.0;;07/09/2015 00:00;14/08/2014 11:07;0;Indenização;;;0;0;;;;;S;0;Procedência Provável;J;Indenização;0;253559;;Juizado Especial Cível;MG;Ipatinga;;Autor;Justiça Estadual;Instrução;14/08/2014 00:00;;0;;;;0.0;0.0;;0;;;;;67699.0;;561.0;0012345-12.2024.1.12.0001;;;;1.0;0;0;;1.0;;22/04/2019 15:26;;;1.0
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 926;347394;0;0;0;0.0;;;23/08/2017 09:34;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1265.0;;;;;;0;0;;;;23/08/2017 09:34;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 927;347394;0;0;0;0.0;;;23/08/2017 09:46;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1266.0;;;;;;0;0;;;;23/08/2017 09:46;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 928;347394;0;0;0;0.0;;;18/09/2017 13:24;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1293.0;;;;;;0;0;;;;18/09/2017 13:24;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 892;347394;0;0;0;0.0;;;19/07/2017 10:39;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1229.0;;;;;;0;0;;;;19/07/2017 10:39;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 599;347394;0;0;0;0.0;;;18/09/2017 13:42;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1294.0;;;;;;0;0;;;;18/09/2017 13:42;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 599;347394;0;0;0;0.0;;;18/09/2017 13:42;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1294.0;;;;;;0;0;;;;18/09/2017 13:42;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 929;347394;0;0;0;0.0;;;18/09/2017 13:55;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1295.0;;;;;;0;0;;;;18/09/2017 13:55;;;
92577;Aguardando numeração;0.0;;;;;;;;Fulano(a) 1523;347394;0;0;0;0.0;;;18/09/2017 14:23;2;;;;0;0;;;;;S;0;;J;;0;0;;;UF;;;;;;;;0;;;;0.0;0.0;;0;;;;;;;1297.0;;;;;;0;0;;;;18/09/2017 14:23;;;
92577;0012345-12.2024.1.12.0003;;;31/07/2017 00:00;Direito Cível;;;;;Fulano(a) 283;302720;0;0;0;15000.0;;;07/08/2017 16:46;0;Indenização;;Mesa Administração 02;0;0;;;;9337386.0;N;0;Procedência Provável;J;Indenização;0;253559;;Turma Recursal;MG;Ipatinga;;Autor;Justiça Estadual;Instrução;22/08/2014 00:00;;0;;;;0.0;0.0;;0;;;;;;;1249.0;0012345-12.2024.1.12.0003;;;;1.0;0;0;;2.0;;02/02/2018 08:46;;;1.0
